"","freq","spec","lower","upper","data_type"
"88",0.053,0.16204443544187,0.157851340283943,0.166944110157093,"TRW"
"89",0.054,0.174671231788686,0.13512818279326,0.222408564454697,"MXD"
"90",0.054,0.15826839816482,0.154124949902381,0.162971791158771,"TRW"
"91",0.055,0.161724176648201,0.124165439025206,0.205613534165772,"MXD"
"92",0.055,0.155028504912995,0.150993253214447,0.159532054646552,"TRW"
"93",0.056,0.150007801530546,0.114631460434151,0.192568983183998,"MXD"
"94",0.056,0.152678251575108,0.14857044961364,0.157031728016166,"TRW"
"95",0.057,0.139748002666965,0.106342126158727,0.180652829951541,"MXD"
"96",0.057,0.150848594452108,0.146478424690251,0.155009564440317,"TRW"
"97",0.058,0.131107936090288,0.0989183288822738,0.169802873331698,"MXD"
"98",0.058,0.149558039100259,0.145217955089135,0.153972035930509,"TRW"
"99",0.059,0.124187056779925,0.093855636393086,0.159783840453287,"MXD"
"100",0.059,0.148712514070692,0.144522658643088,0.153272810652481,"TRW"
"101",0.06,0.119017694027962,0.0893903071099838,0.152330104592825,"MXD"
"102",0.06,0.147971528175792,0.143901626129275,0.152589277044547,"TRW"
"103",0.061,0.115566785936649,0.0863772498922653,0.147426608897057,"MXD"
"104",0.061,0.147117832910587,0.143058219567775,0.151332776849057,"TRW"
"105",0.062,0.113738733708488,0.0850454020268511,0.144956960411268,"MXD"
"106",0.062,0.146406315032208,0.1424255737672,0.150531963203906,"TRW"
"107",0.063,0.113381533347439,0.0861626625086291,0.143884499880342,"MXD"
"108",0.063,0.145416524081003,0.141519296279222,0.149491004227151,"TRW"
"109",0.064,0.114297461153801,0.0855989198422387,0.143637483989227,"MXD"
"110",0.064,0.144494244497453,0.140672952617062,0.148562539770768,"TRW"
"111",0.065,0.11625660915782,0.0858671850371884,0.145005010814541,"MXD"
"112",0.065,0.143139230476903,0.139532604910027,0.147163674767343,"TRW"
"113",0.066,0.119012192207342,0.0880502146111925,0.147507187999405,"MXD"
"114",0.066,0.141690441928758,0.138191611440481,0.145646875210067,"TRW"
"115",0.067,0.122318054852307,0.0913267983796038,0.150647277679615,"MXD"
"116",0.067,0.140110619641353,0.136688351869069,0.144029408402547,"TRW"
"117",0.068,0.125940215194062,0.0955557118782238,0.153219246589155,"MXD"
"118",0.068,0.138363073938521,0.135034748871998,0.142308894588392,"TRW"
"119",0.069,0.129667977932023,0.0994526279472236,0.159117549995684,"MXD"
"120",0.069,0.136681402051512,0.133349864843855,0.140681610508295,"TRW"
"121",0.07,0.133321462299435,0.102699166470759,0.163929037672819,"MXD"
"122",0.07,0.135189508594429,0.132002328026823,0.139198881444909,"TRW"
"123",0.071,0.136756636270902,0.106354050360817,0.169298703711755,"MXD"
"124",0.071,0.133970887772025,0.130964700520937,0.137848364294293,"TRW"
"125",0.072,0.139865890311902,0.108902913367261,0.173888333980229,"MXD"
"126",0.072,0.133072468804872,0.130032399638937,0.137041076710246,"TRW"
"127",0.073,0.142575722415296,0.11121563068549,0.17708258927201,"MXD"
"128",0.073,0.132433853134379,0.129379408270655,0.136335536540918,"TRW"
"129",0.074,0.144841822841346,0.113656166265877,0.179980422317009,"MXD"
"130",0.074,0.132148362033966,0.129101287767052,0.13584970130593,"TRW"
"131",0.075,0.146642320777149,0.114631234709429,0.183011787950927,"MXD"
"132",0.075,0.132021647031409,0.128899908416411,0.135515744287803,"TRW"
"133",0.076,0.147967823183687,0.115120616015878,0.184720378896839,"MXD"
"134",0.076,0.132049677653693,0.129068413308526,0.135389114802682,"TRW"
"135",0.077,0.148816400753396,0.115706874395042,0.184643412692035,"MXD"
"136",0.077,0.132185478759426,0.129260250310375,0.135463463644764,"TRW"
"137",0.078,0.149188831569846,0.115946686897087,0.183670261226465,"MXD"
"138",0.078,0.132402581062821,0.129750253576461,0.135595393354306,"TRW"
"139",0.079,0.149088416019879,0.115847129804108,0.183700839913125,"MXD"
"140",0.079,0.13264055819056,0.129980375089798,0.135784996332712,"TRW"
"141",0.08,0.148520526375212,0.11545389204194,0.182205111903415,"MXD"
"142",0.08,0.132849777321164,0.130101381458169,0.136076414638779,"TRW"
"143",0.081,0.147495379254201,0.114532751563744,0.180638972363296,"MXD"
"144",0.081,0.132826596780581,0.130135730083748,0.136141764288996,"TRW"
"145",0.082,0.14602945950698,0.113485567475451,0.178581545390392,"MXD"
"146",0.082,0.132680679609711,0.129809031424515,0.135840794779192,"TRW"
"147",0.083,0.144147317131559,0.112309836838196,0.175381980832078,"MXD"
"148",0.083,0.13217287718629,0.129350747478763,0.135253978710723,"TRW"
"149",0.084,0.141882148884976,0.111009150382028,0.171930295658912,"MXD"
"150",0.084,0.131385897326573,0.128606193707223,0.134352362622358,"TRW"
"151",0.085,0.139277294885919,0.109615196744843,0.167932378814842,"MXD"
"152",0.085,0.13048687466829,0.127636381707763,0.133298648137248,"TRW"
"153",0.086,0.136384187499079,0.107528917772846,0.165058243198067,"MXD"
"154",0.086,0.129236880998478,0.126359983136718,0.131890376677549,"TRW"
"155",0.087,0.133259624876513,0.105090213856198,0.163022341920044,"MXD"
"156",0.087,0.12800171038318,0.125202815123319,0.130601885753469,"TRW"
"157",0.088,0.129962983546549,0.103321004949014,0.158627253423313,"MXD"
"158",0.088,0.126538013114795,0.123800328222675,0.129091144261358,"TRW"
"159",0.089,0.126552271693306,0.101841073380827,0.155024848570243,"MXD"
"160",0.089,0.125061405839744,0.122397668078589,0.127559332429002,"TRW"
"161",0.09,0.123081401875927,0.0993718118614063,0.150008367389195,"MXD"
"162",0.09,0.123637633230619,0.120963417785208,0.126112754942543,"TRW"
"163",0.091,0.119596994744384,0.0965539902451408,0.145051692697332,"MXD"
"164",0.091,0.122338623484875,0.119736192181978,0.124943564200807,"TRW"
"165",0.092,0.116137165540674,0.0943404044116159,0.141365243920774,"MXD"
"166",0.092,0.121266629910837,0.11868925017694,0.12384625608222,"TRW"
"167",0.093,0.112731048436387,0.0921098401775986,0.137495160137739,"MXD"
"168",0.093,0.12034262772227,0.11759867445386,0.122898246829884,"TRW"
"169",0.094,0.109397810411237,0.0893765034712877,0.134047974532736,"MXD"
"170",0.094,0.119637509200057,0.116882383233461,0.122100498642304,"TRW"
"171",0.095,0.106147269533901,0.0869573332923733,0.130310070914678,"MXD"
